File,Reading No,ID,AQ,Long,Latitude,Mn_K,Co_K,Ni_K,Zn_K,Mn,Co,Ni,Zn,xcoord,ycoord,density1,SoilType1
XL3-86715-richard,"3919",XL3-86715-richard-3919,"395267",145.209178000000009,-15.106941220000000,"0","0","0","0",Normal,Normal,Normal,Normal,952646.694944445,8325506.85096041,3,"9"
XL3-86715-richard,"2789",XL3-86715-richard-2789,"396046",139.751197600000012,-21.581824850000000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,370715.552249627,7612939.69535735,1,"8"
XL3-86715-richard,"3304",XL3-86715-richard-3304,"396861",145.709178000000009,-17.390262860000000,"0","0","0","83",Normal,Normal,Normal,Normal,1000677.35747625,8071111.80641829,4,"5"
XL3-86715-richard,"3786",XL3-86715-richard-3786,"396921",151.750818600000002,-28.748544259999999,"658","0","0","0",Normal,Normal,Normal,Normal,1552984.90786974,6771997.62178097,2,"7"
XL3-86715-richard,"2736",XL3-86715-richard-2736,"397626",138.584532400000001,-18.581833910000000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,245083.401943721,7943727.67457464,2,"11"
XL3-86715-richard,"2622",XL3-86715-richard-2622,"397627",138.584532400000001,-18.581833910000000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,245083.401943721,7943727.67457464,2,"11"
XL3-86715-richard,"2768",XL3-86715-richard-2768,"398933",145.917783899999989,-19.415125339999999,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1016796.89926637,7845853.59819963,2,"4"
XL3-86715-richard,"2735",XL3-86715-richard-2735,"399283",140.751170500000001,-18.581821479999999,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,473745.928866676,7945423.87409695,1,"1"
XL3-86715-richard,"3622",XL3-86715-richard-3622,"399828",148.584155900000013,-21.248572889999998,"0","0","0","0",Normal,Normal,Normal,Normal,1288609.45337625,7631349.01865951,2,"3"
XL3-86715-richard,"2747",XL3-86715-richard-2747,"404400",142.917811999999998,-18.081811129999998,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,702961.583615155,7999708.59976085,2,"8"
